# generated by causality-bench, do not edit by hand
# generated: 2026-09-12 12:31:32 UTC
# source: experiments/run_baseline.py
# machine: AMD Ryzen 7 4700U with Radeon Graphics, 8 cores, 15 GiB, Linux 6.8.0-138-generic, Python 3.12.3
# rows: 30
nodes,events_per_node,message_probability,topology,delay_distribution,mean_delay,mean_interarrival,loss_probability,failure_probability,mean_failure_duration,seed,events,total_pairs,ordered_pairs,concurrent_pairs,causal_density,concurrency_ratio,lamport_tied_pairs,lamport_false_orderings,lamport_false_ordering_rate,lamport_concurrency_recall,lamport_order_precision,lamport_causal_recall,vector_false_ordering_rate,vector_concurrency_recall,vector_order_precision,vector_causal_recall,messages,lamport_timestamp_bytes,vector_timestamp_bytes,lamport_event_metadata_bytes,vector_event_metadata_bytes,lamport_message_metadata_bytes,vector_message_metadata_bytes,metadata_amplification,mean_vector_nonzero_entries,sparse_vector_timestamp_bytes,measured_lamport_retained_bytes,measured_vector_retained_bytes,simulation_seconds,graph_build_seconds,lamport_tick_ns,lamport_send_ns,lamport_receive_ns,vector_tick_ns,vector_send_ns,vector_receive_ns,local_events,send_events,receive_events,messages_lost,messages_dropped_by_network,messages_dropped_by_failure,failures,total_downtime,final_logical_time,experiment
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,42,10005,50045010,48330069,1714941,0.9657320280283689,0.03426797197163114,29426,1685515,0.9828413922111606,0.017158607788839382,0.9663002035525567,1.0,0.0,1.0,1.0,1.0,2005,8,64,80040,640320,16040,128320,8.0,7.882258870564717,94.5871064467766,85120,1125672,0.07487975999902119,0.0970274809988041,167.019,163.40533333333335,385.678,190.94366666666667,193.67566666666667,778.3953333333334,5995,2005,2005,0,0,0,0,0.0,1047.964556799194,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,43,9994,49935021,48240956,1694065,0.9660746112432795,0.03392538875672046,28745,1665320,0.9830319379716835,0.016968062028316504,0.9666310505716756,1.0,0.0,1.0,1.0,1.0,1994,8,64,79952,639616,15952,127616,8.0,7.874724834900941,94.49669801881129,85120,1124528,0.06860299300024053,0.04235095699914382,131.78633333333335,127.95933333333333,301.9746666666667,146.474,149.129,594.889,6006,1994,1994,0,0,0,0,0.0,1024.4845898336619,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,44,10027,50265351,48604737,1660614,0.9669630477662436,0.03303695223375641,28840,1631774,0.9826329297476717,0.017367070252328354,0.9675181662197838,1.0,0.0,1.0,1.0,1.0,2027,8,64,80216,641728,16216,129728,8.0,7.855789368704498,94.26947242445397,85120,1127960,0.10537704299713369,0.05047213299985742,141.29433333333333,135.56,325.19166666666666,193.839,164.12366666666668,670.7273333333334,5973,2027,2027,0,0,0,0,0.0,1062.7292177634984,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,45,10017,50165136,48445564,1719572,0.9657217713911909,0.034278228608809115,28513,1691059,0.9834185483364465,0.01658145166355349,0.9662709831892746,1.0,0.0,1.0,1.0,1.0,2017,8,64,80136,641088,16136,129088,8.0,7.871218927822701,94.4546271338724,85120,1126920,0.11144599100225605,0.04743098600010853,136.71233333333333,139.865,305.53133333333335,158.88366666666667,161.72233333333332,625.8136666666667,5983,2017,2017,0,0,0,0,0.0,1107.4687647353146,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,46,9975,49745325,48044579,1700746,0.9658109380127681,0.03418906198723196,29166,1671580,0.9828510547724352,0.017148945227564844,0.9663775312972187,1.0,0.0,1.0,1.0,1.0,1975,8,64,79800,638400,15800,126400,8.0,7.845914786967419,94.15097744360902,85120,1122552,0.12389379500018549,0.04850700799943297,165.66633333333334,161.80266666666665,395.984,191.01733333333334,198.01033333333334,757.0556666666666,6025,1975,1975,0,0,0,0,0.0,1032.6780490219999,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,47,10031,50305465,48610312,1695153,0.9663028062656811,0.033697193734318925,29659,1665494,0.9825036442138261,0.017496355786173874,0.9668728533163645,1.0,0.0,1.0,1.0,1.0,2031,8,64,80248,641984,16248,129984,8.0,7.871996809889343,94.46396171867212,85120,1128376,0.07707710799877532,0.1005226870001934,138.11166666666668,132.99533333333332,299.46,155.34733333333332,157.98866666666666,616.8166666666667,5969,2031,2031,0,0,0,0,0.0,1057.0059319605573,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,48,10006,50055015,48331827,1723188,0.9655741187970875,0.034425881202912435,29020,1694168,0.9831591213494987,0.01684087865050128,0.9661342468050861,1.0,0.0,1.0,1.0,1.0,2006,8,64,80048,640384,16048,128384,8.0,7.866979812112732,94.40375774535279,85120,1125776,0.07014165000146022,0.09804634600004647,152.99266666666668,155.975,346.50466666666665,178.77766666666668,181.73333333333332,709.677,5994,2006,2006,0,0,0,0,0.0,1007.8330223989212,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,49,10048,50476128,48762748,1713380,0.9660556372311283,0.03394436276887165,28964,1684416,0.9830954020707607,0.016904597929239283,0.9666102934943974,1.0,0.0,1.0,1.0,1.0,2048,8,64,80384,643072,16384,131072,8.0,7.889231687898089,94.67078025477707,85120,1130144,0.07836531599969021,0.12213612900086446,128.70733333333334,134.64166666666668,298.56166666666667,155.02666666666667,157.805,602.984,5952,2048,2048,0,0,0,0,0.0,1050.5649188682535,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,50,9994,49935021,48271754,1663267,0.9666913727742299,0.03330862722577007,28578,1634689,0.982818152467403,0.01718184753259699,0.9672449306795918,1.0,0.0,1.0,1.0,1.0,1994,8,64,79952,639616,15952,127616,8.0,7.882829697818691,94.59395637382428,85120,1124528,0.06566347700209008,0.04965242000253056,152.859,149.46966666666665,380.72866666666664,175.89233333333334,181.62633333333332,715.274,6006,1994,1994,0,0,0,0,0.0,1067.3490344876834,baseline
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,51,9989,49885066,48190158,1694908,0.9660237394493976,0.03397626055060246,29245,1665663,0.98274537615021,0.01725462384979008,0.9665904007477883,1.0,0.0,1.0,1.0,1.0,1989,8,64,79912,639296,15912,127296,8.0,7.891280408449294,94.69536490139153,85120,1124008,0.07903700199676678,0.05237481000222033,149.857,142.25933333333333,328.955,176.99433333333334,174.30266666666665,681.3773333333334,6011,1989,1989,0,0,0,0,0.0,1082.3835995008842,baseline
