# generated by causality-bench, do not edit by hand
# generated: 2026-09-12 12:42:17 UTC
# source: experiments/run_failure.py
# machine: AMD Ryzen 7 4700U with Radeon Graphics, 8 cores, 15 GiB, Linux 6.8.0-138-generic, Python 3.12.3
# rows: 480
nodes,events_per_node,message_probability,topology,delay_distribution,mean_delay,mean_interarrival,loss_probability,failure_probability,mean_failure_duration,seed,events,total_pairs,ordered_pairs,concurrent_pairs,causal_density,concurrency_ratio,lamport_tied_pairs,lamport_false_orderings,lamport_false_ordering_rate,lamport_concurrency_recall,lamport_order_precision,lamport_causal_recall,vector_false_ordering_rate,vector_concurrency_recall,vector_order_precision,vector_causal_recall,messages,lamport_timestamp_bytes,vector_timestamp_bytes,lamport_event_metadata_bytes,vector_event_metadata_bytes,lamport_message_metadata_bytes,vector_message_metadata_bytes,metadata_amplification,mean_vector_nonzero_entries,sparse_vector_timestamp_bytes,measured_lamport_retained_bytes,measured_vector_retained_bytes,simulation_seconds,graph_build_seconds,lamport_tick_ns,lamport_send_ns,lamport_receive_ns,vector_tick_ns,vector_send_ns,vector_receive_ns,local_events,send_events,receive_events,messages_lost,messages_dropped_by_network,messages_dropped_by_failure,failures,total_downtime,final_logical_time,experiment
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,42,10005,50045010,48330069,1714941,0.9657320280283689,0.03426797197163114,29426,1685515,0.9828413922111606,0.017158607788839382,0.9663002035525567,1.0,0.0,1.0,1.0,1.0,2005,8,64,80040,640320,16040,128320,8.0,7.882258870564717,94.5871064467766,85120,1125672,0.06255697699816665,0.08083909899869468,127.02466666666666,124.386,293.13533333333334,143.74566666666666,147.633,571.7803333333334,5995,2005,2005,0,0,0,0,0.0,1047.964556799194,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,43,9994,49935021,48240956,1694065,0.9660746112432795,0.03392538875672046,28745,1665320,0.9830319379716835,0.016968062028316504,0.9666310505716756,1.0,0.0,1.0,1.0,1.0,1994,8,64,79952,639616,15952,127616,8.0,7.874724834900941,94.49669801881129,85120,1124528,0.057250365000072634,0.038992287998553365,137.544,131.623,293.9603333333333,151.31333333333333,153.50733333333332,598.1163333333334,6006,1994,1994,0,0,0,0,0.0,1024.4845898336619,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,44,10027,50265351,48604737,1660614,0.9669630477662436,0.03303695223375641,28840,1631774,0.9826329297476717,0.017367070252328354,0.9675181662197838,1.0,0.0,1.0,1.0,1.0,2027,8,64,80216,641728,16216,129728,8.0,7.855789368704498,94.26947242445397,85120,1127960,0.09009648699793615,0.03684516800058191,115.50633333333333,118.76233333333333,265.81766666666664,139.03366666666668,138.556,540.8993333333333,5973,2027,2027,0,0,0,0,0.0,1062.7292177634984,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,45,10017,50165136,48445564,1719572,0.9657217713911909,0.034278228608809115,28513,1691059,0.9834185483364465,0.01658145166355349,0.9662709831892746,1.0,0.0,1.0,1.0,1.0,2017,8,64,80136,641088,16136,129088,8.0,7.871218927822701,94.4546271338724,85120,1126920,0.09088786900247214,0.035481226001138566,117.86733333333333,120.165,278.7853333333333,140.23266666666666,139.92866666666666,548.0993333333333,5983,2017,2017,0,0,0,0,0.0,1107.4687647353146,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,46,9975,49745325,48044579,1700746,0.9658109380127681,0.03418906198723196,29166,1671580,0.9828510547724352,0.017148945227564844,0.9663775312972187,1.0,0.0,1.0,1.0,1.0,1975,8,64,79800,638400,15800,126400,8.0,7.845914786967419,94.15097744360902,85120,1122552,0.05456356499780668,0.07095072999800323,122.045,119.046,282.06766666666664,138.516,138.15533333333335,558.806,6025,1975,1975,0,0,0,0,0.0,1032.6780490219999,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,47,10031,50305465,48610312,1695153,0.9663028062656811,0.033697193734318925,29659,1665494,0.9825036442138261,0.017496355786173874,0.9668728533163645,1.0,0.0,1.0,1.0,1.0,2031,8,64,80248,641984,16248,129984,8.0,7.871996809889343,94.46396171867212,85120,1128376,0.0605421660002321,0.07361220200255048,121.601,117.884,278.7416666666667,134.73566666666667,136.215,538.4076666666666,5969,2031,2031,0,0,0,0,0.0,1057.0059319605573,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,48,10006,50055015,48331827,1723188,0.9655741187970875,0.034425881202912435,29020,1694168,0.9831591213494987,0.01684087865050128,0.9661342468050861,1.0,0.0,1.0,1.0,1.0,2006,8,64,80048,640384,16048,128384,8.0,7.866979812112732,94.40375774535279,85120,1125776,0.055983473001106177,0.0741966349996801,119.23,123.80166666666666,264.4316666666667,142.34633333333332,142.62033333333332,544.6193333333333,5994,2006,2006,0,0,0,0,0.0,1007.8330223989212,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,49,10048,50476128,48762748,1713380,0.9660556372311283,0.03394436276887165,28964,1684416,0.9830954020707607,0.016904597929239283,0.9666102934943974,1.0,0.0,1.0,1.0,1.0,2048,8,64,80384,643072,16384,131072,8.0,7.889231687898089,94.67078025477707,85120,1130144,0.056008870000368915,0.03801091100103804,117.49966666666667,125.161,271.672,142.36666666666667,145.429,567.459,5952,2048,2048,0,0,0,0,0.0,1050.5649188682535,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,50,9994,49935021,48271754,1663267,0.9666913727742299,0.03330862722577007,28578,1634689,0.982818152467403,0.01718184753259699,0.9672449306795918,1.0,0.0,1.0,1.0,1.0,1994,8,64,79952,639616,15952,127616,8.0,7.882829697818691,94.59395637382428,85120,1124528,0.05724553499749163,0.03632909299994935,121.69466666666666,124.45933333333333,281.29966666666667,140.73666666666668,142.28966666666668,553.91,6006,1994,1994,0,0,0,0,0.0,1067.3490344876834,failure
8,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,20.0,51,9989,49885066,48190158,1694908,0.9660237394493976,0.03397626055060246,29245,1665663,0.98274537615021,0.01725462384979008,0.9665904007477883,1.0,0.0,1.0,1.0,1.0,1989,8,64,79912,639296,15912,127296,8.0,7.891280408449294,94.69536490139153,85120,1124008,0.09095414300099947,0.03699314600089565,123.65166666666667,120.452,278.2676666666667,139.668,141.46466666666666,555.7536666666666,6011,1989,1989,0,0,0,0,0.0,1082.3835995008842,failure
