# generated by causality-bench, do not edit by hand
# generated: 2026-09-12 12:37:03 UTC
# source: experiments/run_scaling.py
# machine: AMD Ryzen 7 4700U with Radeon Graphics, 8 cores, 15 GiB, Linux 6.8.0-138-generic, Python 3.12.3
# rows: 210
nodes,events_per_node,message_probability,topology,delay_distribution,mean_delay,mean_interarrival,loss_probability,failure_probability,mean_failure_duration,seed,events,total_pairs,ordered_pairs,concurrent_pairs,causal_density,concurrency_ratio,lamport_tied_pairs,lamport_false_orderings,lamport_false_ordering_rate,lamport_concurrency_recall,lamport_order_precision,lamport_causal_recall,vector_false_ordering_rate,vector_concurrency_recall,vector_order_precision,vector_causal_recall,messages,lamport_timestamp_bytes,vector_timestamp_bytes,lamport_event_metadata_bytes,vector_event_metadata_bytes,lamport_message_metadata_bytes,vector_message_metadata_bytes,metadata_amplification,mean_vector_nonzero_entries,sparse_vector_timestamp_bytes,measured_lamport_retained_bytes,measured_vector_retained_bytes,simulation_seconds,graph_build_seconds,lamport_tick_ns,lamport_send_ns,lamport_receive_ns,vector_tick_ns,vector_send_ns,vector_receive_ns,local_events,send_events,receive_events,messages_lost,messages_dropped_by_network,messages_dropped_by_failure,failures,total_downtime,final_logical_time,experiment
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,42,2509,3146286,3122151,24135,0.9923290508237331,0.007670949176266875,1124,23011,0.9534286306194324,0.04657136938056764,0.9926836837021432,1.0,0.0,1.0,1.0,1.0,509,8,16,20072,40144,4072,8144,2.0,1.99561578318055,23.9473893981666,20480,161016,0.015681430999393342,0.01063415400130907,131.27533333333332,133.72666666666666,298.5416666666667,136.652,139.21033333333332,394.6546666666667,1491,509,509,0,0,0,0,0.0,1074.7185157625906,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,43,2542,3229611,3204975,24636,0.9923718367320399,0.007628163267960135,1171,23465,0.9524679331060237,0.047532066893976294,0.9927317837717288,1.0,0.0,1.0,1.0,1.0,542,8,16,20336,40672,4336,8672,2.0,1.9948859166011015,23.938630999213217,20480,162864,0.014780094999878202,0.009353258999908576,139.641,141.23766666666666,330.3976666666667,151.273,153.14966666666666,416.088,1458,542,542,0,0,0,0,0.0,1032.8018003415104,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,44,2497,3116256,3092555,23701,0.9923943989197294,0.007605601080270684,1125,22576,0.9525336483692671,0.04746635163073288,0.9927527927396954,1.0,0.0,1.0,1.0,1.0,497,8,16,19976,39952,3976,7952,2.0,1.9919903884661594,23.903884661593914,20480,160344,0.016524888000276405,0.011759778000850929,165.70633333333333,173.264,393.33233333333334,179.08833333333334,185.87733333333333,514.779,1503,497,497,0,0,0,0,0.0,980.1723272755864,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,45,2478,3069003,3043968,25035,0.9918426277198165,0.0081573722801835,1093,23942,0.9563411224285999,0.04365887757140004,0.9921959901040122,1.0,0.0,1.0,1.0,1.0,478,8,16,19824,39648,3824,7648,2.0,1.9911218724778046,23.893462469733656,20480,159280,0.02275875399936922,0.01824610699986806,162.11633333333333,162.34033333333332,378.08366666666666,169.73066666666668,171.33366666666666,465.22,1522,478,478,0,0,0,0,0.0,1004.6636439912495,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,46,2512,3153816,3129102,24714,0.9921637787366162,0.007836221263383786,1130,23584,0.9542769280569717,0.04572307194302824,0.9925193945733891,1.0,0.0,1.0,1.0,1.0,512,8,16,20096,40192,4096,8192,2.0,1.9940286624203822,23.92834394904459,20480,161184,0.06027551300212508,0.009488040999713121,129.25166666666667,142.29933333333332,302.4986666666667,142.67,141.60466666666667,379.7633333333333,1488,512,512,0,0,0,0,0.0,1076.6005842879315,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,47,2499,3121251,3097138,24113,0.9922745719584871,0.007725428041512842,1144,22969,0.9525567121469747,0.04744328785302534,0.9926383934909925,1.0,0.0,1.0,1.0,1.0,499,8,16,19992,39984,3992,7984,2.0,1.9963985594237694,23.956782713085232,20480,160456,0.014656344999821158,0.009301751997554675,126.326,123.474,292.4236666666667,129.472,131.63633333333334,355.4046666666667,1501,499,499,0,0,0,0,0.0,1010.6142380428192,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,48,2520,3173940,3150390,23550,0.9925802000037808,0.00741979999621921,1123,22427,0.9523142250530786,0.047685774946921444,0.9929315179539192,1.0,0.0,1.0,1.0,1.0,520,8,16,20160,40320,4160,8320,2.0,1.9944444444444445,23.933333333333334,20480,161632,0.013277866997668752,0.008698925001226598,123.89833333333333,125.812,284.8793333333333,135.26266666666666,137.14966666666666,378.34066666666666,1480,520,520,0,0,0,0,0.0,1035.9334384757913,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,49,2499,3121251,3097289,23962,0.9923229499966519,0.007677050003348017,1123,22839,0.9531341290376429,0.046865870962357066,0.9926801079955694,1.0,0.0,1.0,1.0,1.0,499,8,16,19992,39984,3992,7984,2.0,1.9935974389755902,23.92316926770708,20480,160456,0.013287325000419514,0.011248402999626705,164.277,161.32833333333335,403.7316666666667,175.34433333333334,180.51433333333333,488.60366666666664,1501,499,499,0,0,0,0,0.0,1021.8186887796403,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,50,2492,3103786,3078394,25392,0.9918190236053646,0.008180976394635454,1126,24266,0.9556553245116572,0.04434467548834278,0.9921789690136851,1.0,0.0,1.0,1.0,1.0,492,8,16,19936,39872,3936,7872,2.0,1.9891653290529696,23.869983948635635,20480,160064,0.016853512002853677,0.009926981998432893,123.905,126.36966666666666,291.231,134.438,134.56833333333333,363.9073333333333,1508,492,492,0,0,0,0,0.0,1044.9081783506006,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,51,2487,3091341,3066417,24924,0.9919374795598415,0.008062520440158495,1036,23888,0.9584336382603114,0.041566361739688654,0.9922700186551165,1.0,0.0,1.0,1.0,1.0,487,8,16,19896,39792,3896,7792,2.0,1.9943707277844793,23.93244873341375,20480,159784,0.013328962999366922,0.008845379001286346,124.74333333333334,126.32933333333334,278.63433333333336,135.20933333333332,133.59966666666668,361.57966666666664,1513,487,487,0,0,0,0,0.0,1109.597484377483,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,52,2498,3118753,3092567,26186,0.9916036954513551,0.008396304548644923,1134,25052,0.9566944168639732,0.043305583136026886,0.9919643805096132,1.0,0.0,1.0,1.0,1.0,498,8,16,19984,39968,3984,7968,2.0,1.9951961569255405,23.942353883106485,20480,160400,0.046618315998784965,0.008964362001279369,129.65233333333333,126.286,298.8186666666667,134.71166666666667,139.73133333333334,372.87733333333335,1502,498,498,0,0,0,0,0.0,995.7510292434707,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,53,2471,3051685,3027151,24534,0.9919605070641302,0.008039492935869856,1121,23413,0.9543083068394881,0.04569169316051194,0.9923250257985081,1.0,0.0,1.0,1.0,1.0,471,8,16,19768,39536,3768,7536,2.0,1.9951436665317686,23.94172399838122,20480,158888,0.013323301998752868,0.009142765000433428,124.50966666666666,125.645,308.42333333333335,137.781,139.69133333333335,371.234,1529,471,471,0,0,0,0,0.0,1011.1984442601644,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,54,2515,3161355,3136878,24477,0.9922574339167857,0.007742566083214318,1140,23337,0.9534256649099154,0.046574335090084566,0.9926153758525923,1.0,0.0,1.0,1.0,1.0,515,8,16,20120,40240,4120,8240,2.0,1.9960238568588469,23.95228628230616,20480,161352,0.013861839001037879,0.00937980799790239,125.91566666666667,131.49566666666666,282.16766666666666,147.81633333333335,136.10766666666666,363.66,1485,515,515,0,0,0,0,0.0,1025.320260154814,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,55,2531,3201715,3177660,24055,0.992486839084678,0.007513160915321945,1117,22938,0.9535647474537519,0.04643525254624818,0.992833214293079,1.0,0.0,1.0,1.0,1.0,531,8,16,20248,40496,4248,8496,2.0,1.99723429474516,23.96681153694192,20480,162248,0.01590406800096389,0.015594188000250142,186.659,187.965,406.133,197.79633333333334,198.588,539.8293333333334,1469,531,531,0,0,0,0,0.0,1058.87463759888,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,56,2483,3081403,3057070,24333,0.9921032724379122,0.007896727562087789,1122,23211,0.9538897793120453,0.04611022068795463,0.9924646485174566,1.0,0.0,1.0,1.0,1.0,483,8,16,19864,39728,3864,7728,2.0,1.995569875151027,23.946838501812323,20480,159560,0.017606148998311255,0.010168954002438113,131.232,130.91833333333332,295.195,150.43466666666666,141.361,384.6526666666667,1517,483,483,0,0,0,0,0.0,989.6151546598636,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,57,2497,3116256,3091010,25246,0.9918986116673342,0.008101388332665866,1119,24127,0.9556761467163115,0.04432385328368851,0.9922549152733893,1.0,0.0,1.0,1.0,1.0,497,8,16,19976,39952,3976,7952,2.0,1.9935923107729274,23.92310772927513,20480,160344,0.014106226000876632,0.04297725900323712,135.383,124.17566666666667,287.845,136.87266666666667,135.166,361.219,1503,497,497,0,0,0,0,0.0,1048.726285287391,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,58,2520,3173940,3150015,23925,0.9924620503223124,0.0075379496776876685,1130,22795,0.9527690700104493,0.04723092998955068,0.9928155168446897,1.0,0.0,1.0,1.0,1.0,520,8,16,20160,40320,4160,8320,2.0,1.992063492063492,23.904761904761905,20480,161632,0.013652285997522995,0.009292204998928355,128.43333333333334,126.57666666666667,290.2993333333333,135.10933333333332,137.761,386.259,1480,520,520,0,0,0,0,0.0,996.3092934972913,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,59,2516,3163870,3141382,22488,0.9928922490494236,0.0071077509505763515,1128,21360,0.9498399146211313,0.05016008537886873,0.9932463666021446,1.0,0.0,1.0,1.0,1.0,516,8,16,20128,40256,4128,8256,2.0,1.9948330683624802,23.937996820349763,20480,161408,0.014538174000335857,0.009729291999974521,132.43433333333334,125.441,294.3736666666667,137.72433333333333,160.27966666666666,382.8793333333333,1484,516,516,0,0,0,0,0.0,1077.2978044205695,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,60,2519,3171421,3145725,25696,0.9918976383141815,0.008102361685818439,1139,24557,0.9556740348692403,0.04432596513075965,0.9922540013790572,1.0,0.0,1.0,1.0,1.0,519,8,16,20152,40304,4152,8304,2.0,1.9940452560539896,23.928543072647876,20480,161576,0.019508026001858525,0.013136802997905761,148.384,145.59533333333334,356.894,156.87,161.84266666666667,447.2563333333333,1481,519,519,0,0,0,0,0.0,1031.704146815507,scaling
2,1000,0.25,complete,exponential,10.0,1.0,0.0,0.0,0.0,61,2494,3108771,3084322,24449,0.9921354773317173,0.007864522668282739,1124,23325,0.9540267495603092,0.045973250439690784,0.9924943212662185,1.0,0.0,1.0,1.0,1.0,494,8,16,19952,39904,3952,7904,2.0,1.98757016840417,23.85084202085004,20480,160176,0.015938491000270005,0.010139158999663778,131.21533333333332,136.59533333333334,311.52933333333334,140.07833333333335,142.77366666666666,398.59866666666665,1506,494,494,0,0,0,0,0.0,1051.3042517256035,scaling
